index,quality
0,1.1501864e-06
1,0.0013821722
2,1.3467017e-08
3,1.3466734e-08
4,4.3403302e-13
5,1.8007286e-10
6,9.2361196e-10
7,6.51312e-11
8,1.6013313e-08
9,5.176592e-06
10,4.8515136e-10
11,4.5842913e-10
12,9.903812e-11
13,5.435341e-08
14,2.6416123e-08
15,2.115993e-06
16,4.148264e-07
17,8.526071e-06
18,6.849874e-13
19,4.6061348e-07
20,1.5514815e-09
21,2.3692864e-11
22,1.1503232e-06
23,8.4274726e-10
24,1.977347e-06
25,2.222139e-05
26,7.2543415e-05
27,3.2390692e-14
28,1.5966931e-08
29,0.00026772718
30,3.7469032e-13
31,2.6251918e-09
32,0.0008428927
33,1.6568444e-07
34,4.7715117e-11
35,1.3546338e-06
36,1.2859401e-06
37,2.5193267e-10
38,3.693194e-11
39,0.00022146478
40,1.4822737e-10
41,1.748745e-08
42,2.7399252e-09
43,3.6401322e-09
44,1.7521568e-10
45,1.9154393e-11
46,2.8833287e-09
47,9.647589e-05
48,9.235769e-08
49,1.8643403e-08
50,4.336264e-12
51,3.3766963e-08
52,1.033559e-06
53,3.7854456e-11
54,4.7426045e-07
55,1.2531435e-09
56,1.0238278e-09
57,1.0276115e-07
58,1.7581664e-12
59,4.621253e-12
60,2.76059e-07
61,2.7006206e-09
62,1.1259021e-09
63,3.1807055e-08
64,5.5107183e-13
65,1.8643403e-08
66,5.4082716e-10
67,4.9549264e-08
68,1.3249985e-12
69,7.1021525e-08
70,2.4351868e-08
71,7.3242285e-05
72,9.649067e-09
73,2.7356033e-05
74,3.6898076e-09
75,1.1325152e-07
76,0.00014666501
77,5.645395e-07
78,2.3863e-07
79,1.0889723e-10
80,4.1045861e-13
81,1.5473634e-07
82,4.328997e-09
83,8.1332974e-10
84,1.1919932e-11
85,1.9292645e-07
86,9.913613e-10
87,2.8108044e-10
88,8.6486185e-10
89,1.132298e-12
90,1.8303033e-11
91,6.936119e-10
92,1.9360311e-07
93,5.506963e-11
94,1.0429962e-11
95,1.602774e-06
96,7.1102185e-08
97,8.240063e-09
98,2.9961584e-09
99,3.1928832e-10
100,1.6848537e-08
101,7.332621e-12
102,9.736887e-07
103,1.225847e-05
104,2.5151994e-08
105,1.4139568e-11
106,2.4446565e-11
107,7.1944575e-09
108,1.6938206e-11
109,3.8525058e-10
110,4.7521584e-14
111,1.4484207e-09
