id,count
0,91.02264
1,220.1688
2,37.529808
4,96.545685
5,83.363396
10,136.82239
11,143.37135
12,211.67131
15,61.770523
17,1.4395154
18,214.40811
23,199.84012
25,156.78851
26,77.09603
31,176.94315
39,191.18369
40,51.993843
41,113.23832
42,
43,175.55127
51,213.63591
52,58.19818
54,74.066246
60,149.18121
61,168.71407
62,134.96686
63,56.838943
65,142.72208
66,113.278496
68,179.15134
71,35.740105
80,89.108215
82,
94,171.1338
98,205.33386
101,74.49881
102,160.21124
107,87.39552
112,231.22726
113,54.57184
115,
116,161.11801
120,86.86514
121,56.960144
122,221.91348
132,171.51349
143,24.307606
147,
150,72.0754
151,65.54888
152,209.0568
153,81.56605
155,61.334106
156,101.71496
159,188.2947
161,89.28289
163,86.571266
177,175.42853
186,84.385315
188,76.80015
190,83.75851
191,92.57565
192,176.30786
195,209.91382
200,178.38486
209,208.27179
210,48.055794
211,223.89539
214,159.78105
215,83.03205
218,144.64807
219,40.213745
222,102.59671
225,62.33352
228,216.93658
236,205.1767
241,81.84815
242,180.70425
243,214.0516
245,66.01714
247,201.92545
251,176.42058
252,87.51621
253,57.67032
254,73.13842
258,208.79869
260,
261,178.3229
265,70.33133
266,191.09203
267,186.65125
269,165.60262
270,
275,136.08179
278,68.74004
279,53.313255
286,102.12784
287,61.94513
288,193.09921
289,178.89435
293,88.390396
294,185.63309
297,
302,94.4741
303,56.980568
304,89.81128
307,126.99357
309,51.51464
311,201.42023
312,92.559235
314,201.47664
315,210.67453
319,189.86038
322,152.36443
323,
325,174.45872
327,192.09444
330,62.15429
332,191.40038
333,86.03823
338,142.67255
341,77.902336
345,113.38921
348,166.464
349,98.18222
350,119.43452
352,
355,56.801834
356,
358,
363,161.69049
369,189.56598
371,75.17714
372,183.93712
375,207.36829
380,167.50827
388,88.38818
391,
392,177.87477
393,215.74515
394,77.21595
396,57.89029
401,58.7091
407,62.826508
409,90.76354
410,113.87821
416,108.990944
418,126.15083
420,184.65314
421,211.35487
