id,count
0,71.32655
1,257.0501
2,57.65182
4,76.40926
5,16.566143
10,94.47933
11,166.62866
12,318.2886
15,65.68282
17,57.24048
18,302.51233
23,258.3013
25,129.90752
26,55.855106
31,222.70432
39,219.81946
40,48.11855
41,58.072704
42,
43,165.45813
51,232.58728
52,74.930176
54,75.78866
60,124.69584
61,134.76036
62,110.35744
63,35.397648
65,103.53751
66,102.71935
68,223.02507
71,63.47366
80,59.325756
82,
94,130.6688
98,274.2955
101,72.216324
102,128.85745
107,54.532063
112,355.9205
113,91.1308
115,
116,128.56232
120,101.65643
121,115.540504
122,318.60413
132,196.10692
143,24.448492
147,
150,63.263058
151,50.994835
152,246.27533
153,63.98856
155,75.1518
156,57.7777
159,175.42737
161,80.80012
163,55.18084
177,149.12724
186,57.424408
188,52.05854
190,64.607414
191,90.41927
192,227.4581
195,305.6516
200,197.9123
209,275.7959
210,84.281906
211,285.5715
214,192.14034
215,61.272114
218,113.870094
219,45.71432
222,85.634544
225,53.75932
228,310.6783
236,224.40327
241,59.525227
242,177.58301
243,253.05383
245,61.807907
247,258.0159
251,154.83678
252,73.677734
253,58.84174
254,75.26906
258,267.95355
260,
261,152.8414
265,47.09745
266,263.871
267,234.26761
269,156.49725
270,
275,114.719475
278,68.37215
279,44.8903
286,79.078606
287,71.45151
288,213.13031
289,185.25563
293,59.58748
294,211.70387
297,
302,92.00883
303,69.6048
304,10.177127
307,100.883125
309,62.5957
311,200.77132
312,87.29806
314,208.50739
315,251.08813
319,190.72844
322,124.68866
323,
325,147.5571
327,249.4483
330,47.217663
332,199.52953
333,51.31285
338,114.206345
341,74.43819
345,67.02996
348,174.84357
349,57.74305
350,99.37205
352,
355,43.691628
356,
358,
363,125.758705
369,155.96866
371,65.05531
372,160.42108
375,298.2493
380,141.16336
388,55.097633
391,
392,236.0625
393,280.3262
394,86.30878
396,55.697124
401,65.89069
407,22.408716
409,47.835808
410,111.929375
416,124.771614
418,85.2215
420,153.90776
421,293.52762
422,143.31693
424,292.64093
428,233.51358
429,289.4705
431,181.83746
435,20.932138
439,92.01398
441,10.890856
447,53.929264
449,195.065
451,189.72809
452,75.26255
454,218.61255
458,322.1909
463,125.004
467,68.565506
470,38.67824
471,132.0675
474,292.1041
478,62.093594
483,97.11776
484,159.03314
485,70.292564
486,123.182396
491,105.06066
494,90.114006
495,202.1922
497,201.94577
499,216.87375
515,112.25011
518,219.71063
521,95.600624
525,
529,229.24347
532,127.92758
534,38.217533
540,52.207256
544,287.59842
547,181.64397
549,51.265377
563,50.108566
564,162.113
567,100.32682
572,127.48903
577,174.53992
578,278.71625
585,243.74124
