id,count
0,151.23805
1,219.94347
2,192.07742
4,102.23269
5,47.16447
10,179.12679
11,181.91666
12,332.2604
15,87.04275
17,113.14489
18,299.64423
23,261.84067
25,130.99579
26,95.11393
31,180.22319
39,228.65718
40,42.73528
41,117.82238
42,
43,182.4237
51,268.08243
52,89.46034
54,50.055416
60,124.23325
61,112.09878
62,146.65028
63,30.685404
65,133.44397
66,107.68132
68,228.76146
71,78.44198
80,80.628685
82,
94,118.28406
98,272.63437
101,131.69063
102,141.16028
107,105.734985
112,333.18228
113,139.9893
115,
116,138.76668
120,175.57413
121,170.45996
122,309.40518
132,176.19087
143,148.40901
147,
150,37.256836
151,117.57911
152,275.9764
153,148.25902
155,133.31291
156,145.06248
159,200.73236
161,138.36073
163,68.55621
177,181.70612
186,51.661194
188,20.6389
190,28.396114
191,141.82784
192,200.68541
195,272.92944
200,186.72267
209,293.04745
210,71.412254
211,267.58224
214,152.30273
215,81.983284
218,102.38395
219,56.99091
222,151.48338
225,24.705452
228,312.9009
236,223.44809
241,32.575775
242,217.44261
243,267.69907
245,17.0115
247,229.69102
251,185.8008
252,87.48197
253,115.94764
254,141.17613
258,279.18616
260,
261,166.1645
265,113.31839
266,233.53001
267,200.91994
269,191.2129
270,
275,90.04803
278,74.81953
279,88.014244
286,148.54105
287,34.96734
288,204.66304
289,182.45256
293,30.778511
294,227.86554
297,
302,165.77545
303,106.85312
304,49.157772
307,84.44835
309,31.71841
311,209.60182
312,69.04842
314,198.77798
315,263.526
319,210.19322
322,138.40727
323,
325,149.44963
327,229.58238
330,59.8068
332,228.49486
333,30.716034
338,88.224014
341,150.36214
345,86.149605
348,178.8611
349,84.0128
350,139.01396
352,
355,20.542767
356,
358,
363,156.78133
369,179.39113
371,38.611656
372,149.335
375,274.53946
380,109.08031
388,68.63152
391,
392,206.16855
393,310.44162
394,145.30772
396,35.250576
401,46.137997
407,87.206856
409,120.788284
410,140.97566
416,130.98344
418,155.18877
420,166.39915
421,294.0147
422,180.43011
424,294.56894
428,223.66454
429,276.89688
431,138.18407
435,21.068045
439,126.15644
441,118.339226
447,107.532845
449,182.15952
451,205.4817
452,42.225773
454,199.61232
