,id,count
0,0,92.95612
1,1,219.57816
2,2,145.76587
3,4,102.194984
4,5,184.58202
5,10,115.737656
6,11,160.12619
7,12,217.38911
8,15,82.91996
9,17,99.45043
10,18,212.38249
11,23,185.46747
12,25,168.81757
13,26,71.41056
14,31,200.60117
15,39,183.58043
16,40,61.052658
17,41,216.10905
18,42,
19,43,154.07649
20,51,205.86061
21,52,76.22352
22,54,86.333176
23,60,155.97223
24,61,178.78091
25,62,144.39903
26,63,53.689785
27,65,118.181435
28,66,117.15592
29,68,181.39012
30,71,54.616905
31,80,83.92145
32,82,
33,94,168.40683
34,98,196.65929
35,101,98.6144
36,102,171.20418
37,107,169.98131
38,112,216.65578
39,113,92.16254
40,115,
41,116,137.93279
42,120,73.01347
43,121,94.46613
44,122,215.57625
45,132,185.1268
46,143,116.41048
47,147,
48,150,74.59215
49,151,61.869404
50,152,203.56996
51,153,72.6105
52,155,92.369446
53,156,183.39638
54,159,173.94553
55,161,71.98498
56,163,57.083515
57,177,158.93382
58,186,90.92628
59,188,59.869633
60,190,80.822075
61,191,101.50106
62,192,186.73723
63,195,217.7118
64,200,195.11485
65,209,208.79218
66,210,81.2858
67,211,224.62193
68,214,200.4987
69,215,84.74758
70,218,152.59013
71,219,45.558838
72,222,82.44694
73,225,71.3424
74,228,208.1366
75,236,184.89488
76,241,62.592266
77,242,181.28944
78,243,196.48863
79,245,68.09875
80,247,209.29369
81,251,186.85248
82,252,70.103424
83,253,71.56546
84,254,87.4642
85,258,198.81027
86,260,
87,261,174.88313
88,265,47.121777
89,266,210.1635
90,267,211.09248
91,269,157.32417
92,270,
93,275,140.53334
94,278,73.26455
95,279,48.60076
96,286,98.202286
97,287,43.88417
98,288,196.1219
99,289,195.91394
100,293,66.10586
101,294,190.90547
102,297,
103,302,122.17378
104,303,89.590324
105,304,192.3889
106,307,132.48822
107,309,67.38787
108,311,187.85805
109,312,215.60382
110,314,198.63428
111,315,193.80853
112,319,194.09575
113,322,138.08315
114,323,
115,325,191.52905
116,327,210.72414
117,330,62.513233
118,332,177.33733
119,333,59.149315
120,338,151.77129
121,341,97.471016
122,345,216.23503
123,348,189.6888
124,349,73.10064
125,350,104.375435
126,352,
127,355,57.38362
128,356,
129,358,
130,363,166.49278
131,369,185.6973
132,371,79.46882
133,372,188.71382
134,375,207.58566
135,380,181.72646
136,388,56.400208
137,391,
138,392,198.4829
139,393,210.71263
140,394,91.962135
141,396,60.490276
142,401,74.9753
143,407,49.31938
144,409,52.1297
145,410,125.39697
146,416,143.34586
147,418,107.39753
148,420,169.79683
149,421,200.96962
150,422,185.85664
151,424,200.84045
152,428,207.43773
153,429,213.85971
154,431,197.17134
155,435,77.13236
156,439,92.8894
157,441,108.846
158,447,69.0077
159,449,189.9532
160,451,204.86769
161,452,80.96016
162,454,199.61972
163,458,218.35614
164,463,166.8671
165,467,86.36692
166,470,203.2863
167,471,145.18385
168,474,205.63509
169,478,89.358986
170,483,115.6787
171,484,166.26733
172,485,64.29701
173,486,159.52922
174,491,133.00491
175,494,117.20516
176,495,210.64554
177,497,198.9689
178,499,209.07556
179,515,143.81819
180,518,199.09737
181,521,85.76201
182,525,
183,529,196.81677
184,532,162.30476
185,534,64.109474
186,540,47.147614
187,544,196.17195
188,547,164.34023
189,549,66.52654
190,563,65.85242
191,564,192.42479
192,567,117.91253
193,572,161.04613
194,577,178.03302
195,578,201.33952
196,585,211.58556
197,588,199.12117
198,589,177.63567
199,590,125.64062
200,592,89.64718
201,594,205.3728
202,596,81.66716
203,598,215.39487
204,599,155.9933
205,605,92.82455
206,606,153.21501
207,607,211.32082
208,608,192.12376
209,609,
210,610,201.51967
211,611,110.53796
212,614,
213,615,191.54875
214,616,210.51508
215,617,157.56175
216,618,192.46016
217,624,120.63207
218,629,177.83846
219,631,81.01999
220,633,100.757225
221,637,82.320274
222,638,145.72316
223,643,
224,644,195.48906
225,645,65.9517
226,646,186.65701
227,648,167.4622
228,650,73.908516
229,651,106.66468
230,652,225.1534
231,656,186.48952
232,657,93.8621
233,659,90.03272
234,660,184.08096
235,662,134.62665
236,665,210.78252
237,675,
238,681,178.36668
239,682,195.21162
240,685,47.261215
241,686,178.784
242,689,75.75319
243,696,146.501
244,703,202.11476
245,704,132.5851
246,705,186.70993
247,714,185.12283
248,717,82.819084
249,718,90.28861
250,720,68.537926
251,721,209.11568
252,723,185.90785
253,726,107.01969
254,728,181.01215
255,730,103.563995
256,731,78.20819
257,734,196.4341
258,737,63.568855
259,738,61.426758
260,745,204.20894
261,746,82.72256
262,749,189.53444
263,752,74.86766
264,753,100.45499
265,758,180.82848
266,765,100.52709
267,766,205.70668
268,768,63.82304
269,769,176.39766
270,774,181.01239
271,775,114.511765
272,781,
273,784,209.39601
274,794,91.18215
275,795,212.93748
276,796,63.825336
277,802,212.88588
278,803,99.69889
279,805,72.22281
280,806,210.04214
281,807,129.13518
282,809,68.897514
283,810,197.42819
284,812,101.361015
285,814,118.303185
286,818,197.39746
287,819,199.81645
288,825,51.207447
289,836,121.54776
290,839,167.42575
291,847,205.41293
292,848,104.80634
293,851,180.97609
294,852,150.18893
295,853,110.69031
296,857,162.33937
297,858,87.384056
298,859,204.7075
299,861,64.34022
300,867,147.34473
301,870,203.85268
302,871,207.05939
303,872,206.41875
304,874,201.9457
305,881,187.98366
306,886,141.84055
307,890,
308,895,152.72865
309,899,64.45719
310,900,211.39926
311,901,203.97462
312,902,180.71143
313,903,79.43298
314,913,198.363
315,918,210.13123
316,923,189.0634
317,924,72.2159
318,926,56.346962
319,927,65.62997
320,930,196.46696
321,934,60.99669
322,937,198.99428
323,939,167.95712
324,941,81.02567
325,942,214.21413
326,946,209.70192
327,950,132.89058
328,953,95.140144
329,959,123.03661
330,961,60.065018
331,962,98.97445
332,964,169.08281
333,969,197.73186
334,971,148.12987
335,976,74.6346
336,978,187.5132
337,980,215.83553
338,981,171.93532
339,990,211.04114
340,993,69.49055
341,996,73.47007
342,998,224.78441
343,999,176.03487
344,1006,137.93556
345,1008,95.56665
346,1013,70.45305
347,1015,123.93134
348,1016,170.00587
349,1022,217.30708
350,1026,204.70753
351,1028,212.14825
352,1031,106.70552
353,1034,
354,1037,196.93382
355,1040,
356,1042,70.940506
357,1046,95.574265
358,1048,126.208275
359,1049,145.65546
360,1050,
361,1051,195.84325
362,1052,201.5525
363,1055,108.79423
364,1060,155.63078
365,1064,86.15146
366,1066,84.46888
367,1071,160.57199
368,1073,84.32449
369,1089,190.67424
370,1091,142.5826
371,1092,59.46506
372,1093,199.27608
373,1096,212.27266
374,1097,203.2884
375,1098,54.780926
376,1099,89.17196
377,1102,205.08449
378,1107,98.21112
379,1109,90.065155
380,1111,118.6285
381,1112,126.34253
382,1114,211.4865
383,1116,214.35727
384,1117,171.70697
385,1118,97.34257
386,1122,
387,1124,163.89642
388,1127,113.63798
389,1133,210.87155
390,1134,71.00303
391,1135,189.99846
392,1139,218.6447
393,1143,
394,1150,104.38144
395,1151,115.360596
396,1153,212.4785
397,1155,67.248886
398,1162,58.897976
399,1163,194.11168
400,1166,70.86406
401,1171,56.51236
402,1172,72.19716
403,1173,202.36494
404,1174,100.87815
405,1177,97.8666
406,1178,192.73746
407,1184,109.0065
408,1185,133.30536
409,1186,112.31004
410,1187,193.69304
411,1188,205.90138
412,1191,159.24583
413,1207,125.46592
414,1213,68.56864
415,1215,166.65971
416,1223,204.14633
417,1227,124.53785
418,1236,
419,1237,
420,1238,82.208855
421,1241,72.6257
422,1248,65.31099
423,1250,73.84648
424,1251,179.09784
425,1253,110.642624
426,1255,130.29866
427,1257,210.79857
428,1261,116.76063
429,1262,212.14758
430,1265,166.62926
431,1273,204.3769
432,1277,217.50732
433,1278,152.57355
434,1280,108.9567
435,1284,179.00313
436,1285,228.45863
437,1288,89.67049
438,1295,121.756096
439,1297,233.90886
440,1299,193.98645
441,1304,202.48006
442,1308,68.52976
443,1310,133.6382
444,1311,155.93106
445,1314,82.44499
446,1315,134.46707
447,1318,85.34086
448,1320,216.90703
449,1321,209.13826
450,1322,197.75674
451,1330,163.79356
452,1333,187.86824
453,1334,184.9742
454,1341,184.33142
455,1344,179.71655
456,1351,194.25185
457,1354,145.31473
458,1356,
459,1363,128.26617
460,1365,212.09302
461,1369,160.42024
462,1373,118.707954
463,1375,139.0353
464,1377,59.180702
465,1379,191.87679
466,1380,217.2079
467,1381,122.50695
468,1384,163.3038
469,1390,192.10179
470,1393,190.34647
471,1395,
472,1399,202.31737
473,1400,108.46286
474,1401,97.85862
475,1404,170.72571
476,1408,80.59247
477,1409,88.381645
478,1413,198.75421
479,1416,206.59044
480,1418,124.66207
481,1423,93.66205
482,1424,62.95336
483,1425,78.6267
484,1433,193.30325
485,1434,150.95895
486,1436,206.79106
487,1442,211.96623
488,1444,54.225174
489,1445,200.94978
490,1452,191.0696
491,1455,189.28258
492,1462,
493,1467,95.007545
494,1472,73.52628
495,1475,95.313545
496,1493,154.34052
497,1501,197.77559
498,1503,204.84285
499,1504,206.41417
500,1505,64.34411
501,1511,187.15303
502,1512,
503,1513,160.87941
504,1514,83.00528
505,1528,198.44676
506,1533,215.37285
507,1534,51.821598
508,1536,201.58842
509,1537,56.79529
510,1539,192.90752
511,1550,212.94553
512,1552,186.85544
513,1554,207.06746
514,1555,204.81133
515,1556,132.53609
516,1559,77.62598
517,1563,197.782
518,1566,195.6087
519,1567,201.59276
520,1568,76.14323
521,1571,198.52896
522,1572,58.878414
523,1574,
524,1577,82.63637
525,1583,152.91989
526,1585,70.5042
527,1586,207.86037
528,1587,182.53159
529,1596,161.65137
530,1602,88.240166
531,1604,104.20751
532,1605,74.51103
533,1610,219.26833
534,1611,140.16238
535,1616,100.51209
536,1617,149.34355
537,1618,82.176926
538,1622,41.231945
539,1623,60.28819
540,1628,215.37212
541,1631,71.00244
542,1632,175.00005
543,1633,196.22792
544,1634,222.25266
545,1636,202.98924
546,1637,146.16774
547,1643,81.98329
548,1644,143.43413
549,1646,93.93574
550,1648,186.90599
551,1651,84.970245
552,1656,44.08868
553,1658,139.61383
554,1659,57.145966
555,1665,110.30982
556,1666,136.02914
557,1670,94.03103
558,1674,197.18
559,1679,206.94093
560,1680,211.1292
561,1683,206.27884
562,1686,63.231285
563,1691,144.54958
564,1693,56.562164
565,1696,92.730095
566,1697,132.18196
567,1703,100.452995
568,1706,66.91975
569,1709,181.12772
570,1710,71.60275
571,1712,
572,1713,160.93831
573,1718,223.67798
574,1719,171.19415
575,1722,202.01169
576,1723,155.3756
577,1724,220.96461
578,1728,75.81709
579,1730,79.633354
580,1732,59.76871
581,1737,49.781654
582,1745,57.88039
583,1747,87.11681
584,1748,87.30201
585,1755,142.68787
586,1759,82.34608
587,1761,215.62566
588,1764,191.73274
589,1765,176.33344
590,1766,54.788864
591,1768,39.50839
592,1770,56.830116
593,1771,192.7115
594,1774,118.88213
595,1785,171.9956
596,1788,214.4404
597,1792,83.46928
598,1794,198.91954
599,1797,150.38924
600,1798,63.240368
601,1799,201.52425
602,1802,138.58928
603,1806,77.31911
604,1808,77.2062
605,1810,187.43794
606,1818,100.46282
607,1819,210.68483
608,1820,199.69197
609,1822,206.57864
610,1826,213.42674
611,1827,180.47888
612,1835,74.59326
613,1841,117.4835
614,1842,150.47739
615,1843,81.794846
616,1846,43.90025
617,1849,82.38123
618,1850,204.51657
619,1851,110.00481
620,1857,
621,1858,189.72972
622,1860,121.83423
623,1861,203.273
624,1864,101.07557
625,1869,210.14432
626,1871,
627,1872,100.95134
628,1875,62.0257
629,1878,213.96098
630,1879,212.9121
