Id,SalePrice
1461,128749.59
1462,106057.945
1463,183287.97
1464,158141.95
1465,197550.72
1466,170602.73
1467,
1468,151769.78
1469,163901.25
1470,128959.47
1471,209202.02
1472,106455.46
1473,114672.71
1474,132133.08
1475,104206.805
1476,326096.16
1477,232511.23
1478,229795.69
1479,242801.44
1480,523027.34
1481,349439.6
1482,174352.73
1483,152836.88
1484,161343.7
1485,156304.1
1486,171701.36
1487,320849.28
1488,229543.62
1489,164165.9
1490,256274.34
1491,176870.0
1492,118659.34
1493,193376.4
1494,274158.16
1495,279496.28
1496,219689.31
1497,148286.4
1498,141465.66
1499,142719.16
1500,142823.62
1501,
1502,
1503,287450.8
1504,188383.34
1505,237674.05
1506,
1507,293499.53
1508,
1509,160779.19
1510,170192.8
1511,149617.62
1512,213312.72
1513,
1514,
1515,198038.95
1516,127100.81
1517,140947.67
1518,190268.38
1519,196539.81
1520,
1521,151178.77
1522,170177.06
1523,122207.69
1524,123662.805
1525,133258.17
1526,138900.8
1527,112321.16
1528,132698.55
1529,141567.22
1530,178823.19
1531,151389.81
1532,
1533,177426.48
1534,116515.93
1535,150328.55
1536,
1537,109842.086
1538,130069.875
1539,200829.38
1540,
1541,159742.64
1542,151846.4
1543,
1544,101930.69
1545,112392.33
1546,121231.03
1547,141260.31
1548,131281.2
1549,128922.46
1550,146269.78
1551,134687.73
1552,142552.0
1553,
1554,106793.58
1555,174162.75
1556,109664.06
1557,
1558,107273.984
1559,
1560,165501.27
1561,
1562,119021.64
1563,123439.195
1564,
1565,141883.69
1566,
1567,100407.03
1568,
1569,178946.28
1570,123806.734
1571,123287.18
1572,148244.94
1573,184700.64
1574,
1575,257354.16
1576,231801.77
1577,162629.12
1578,142433.84
1579,131614.12
1580,
1581,144770.0
1582,115500.36
1583,330843.06
1584,208564.03
1585,
1586,81240.26
1587,105593.586
1588,160992.03
1589,130302.65
1590,126975.68
1591,
1592,127638.97
1593,
1594,
1595,
1596,205816.94
1597,240608.06
1598,181627.97
1599,153781.95
1600,171463.53
1601,93876.91
1602,132539.58
1603,109154.69
1604,248238.44
1605,233861.1
1606,150399.88
1607,
1608,203068.08
1609,145669.1
1610,139278.25
1611,156339.38
1612,160889.4
1613,
1614,123435.18
1615,
1616,
1617,102405.4
1618,113432.71
1619,136346.55
1620,174383.84
1621,159295.02
1622,143689.03
1623,192862.78
1624,206877.05
1625,125705.11
1626,174717.95
1627,163455.23
1628,
1629,163503.47
1630,325066.34
1631,189046.34
1632,217854.9
1633,126056.98
1634,170560.84
1635,
1636,131503.42
1637,237620.98
1638,
1639,172482.14
1640,
1641,173082.11
1642,185900.1
1643,
1644,
1645,
1646,146001.53
1647,142892.19
1648,
1649,
1650,123342.91
1651,116981.47
1652,109145.3
1653,122152.45
1654,132210.78
1655,133994.64
1656,130381.375
1657,132314.75
1658,128732.08
1659,111598.41
1660,
1661,429308.75
1662,399086.5
1663,371396.66
1664,500195.53
1665,251497.4
1666,328428.78
1667,155510.67
1668,289402.16
1669,240979.39
1670,327798.84
1671,294602.84
1672,516194.0
1673,287764.66
1674,233193.75
1675,187034.2
1676,202057.0
1677,165892.6
1678,540178.7
1679,416828.72
1680,281783.47
1681,196931.95
1682,272323.6
1683,181884.22
1684,157386.03
1685,152640.62
1686,158302.78
1687,130844.66
1688,150754.69
1689,155594.7
1690,
1691,
1692,
1693,134417.08
1694,166834.47
1695,133965.98
1696,
1697,134392.78
1698,356347.66
1699,
1700,205612.5
1701,
1702,255541.92
1703,214027.22
1704,282097.8
1705,184556.14
1706,441358.1
1707,
1708,199565.03
1709,267843.66
1710,205932.0
1711,217881.25
1712,252232.03
1713,284283.9
1714,198931.66
1715,202223.03
1716,165085.23
1717,138043.19
1718,
1719,184945.98
1720,202815.94
1721,158556.0
1722,
1723,143782.38
1724,218013.86
1725,250476.72
1726,188374.25
1727,166657.88
1728,162136.0
1729,
1730,160178.22
1731,125456.22
1732,
1733,
1734,
1735,
1736,120436.0
1737,
1738,
1739,251551.94
1740,
1741,
1742,147593.78
1743,150477.62
1744,
1745,170264.33
1746,194625.4
1747,
1748,273284.94
1749,149543.12
1750,150119.3
1751,
1752,115233.31
1753,179203.83
1754,229026.5
1755,
1756,131170.84
1757,112239.016
1758,
1759,
1760,162163.61
1761,169761.47
1762,
1763,162911.88
1764,118691.58
1765,181369.34
1766,247047.9
1767,262583.16
1768,147280.42
1769,
1770,132091.88
1771,139481.28
1772,155673.83
1773,141155.9
1774,200788.83
1775,128312.66
1776,128021.17
1777,114334.52
1778,131893.08
1779,123672.34
1780,151680.45
1781,135206.53
1782,99920.43
1783,140596.11
1784,101576.3
1785,122181.47
1786,113859.1
1787,129972.766
1788,
1789,108833.97
1790,94769.47
1791,285153.6
1792,159754.75
1793,138121.75
1794,120051.73
1795,138195.9
1796,111374.11
1797,157074.62
1798,114141.65
1799,106095.7
1800,122360.46
1801,157537.19
1802,119108.17
1803,153966.47
1804,132645.7
1805,131692.62
1806,119064.266
1807,158061.44
1808,142437.44
1809,
1810,146032.14
1811,
1812,
1813,132194.03
