Id,SalePrice
1461,150345.92
1462,20383.541
1463,199987.4
1464,188427.56
1465,179273.23
1466,187244.89
1467,180966.53
1468,157090.0
1469,169260.66
1470,135300.7
1471,199903.5
1472,104786.69
1473,112588.3
1474,150100.1
1475,93200.914
1476,324776.28
1477,232718.25
1478,228998.66
1479,299554.28
1480,558309.56
1481,348330.28
1482,185170.58
1483,130783.28
1484,158715.03
1485,150506.5
1486,180448.31
1487,455213.97
1488,248074.17
1489,174933.78
1490,229586.67
1491,182506.0
1492,116033.3
1493,173466.84
1494,225695.0
1495,302729.47
1496,218849.6
1497,158565.16
1498,138858.03
1499,140475.25
1500,143294.88
1501,180966.53
1502,180966.53
1503,299366.6
1504,217016.06
1505,233142.38
1506,180966.53
1507,308863.25
1508,180966.53
1509,172349.28
1510,172794.66
1511,148341.4
1512,208463.94
1513,180966.53
1514,180966.53
1515,214569.84
1516,144915.02
1517,142809.27
1518,205341.48
1519,233301.56
1520,180966.53
1521,147768.36
1522,178584.34
1523,129347.4
1524,130086.7
1525,124670.555
1526,115582.64
1527,118396.24
1528,138350.45
1529,146449.66
1530,194087.78
1531,149812.36
1532,180966.53
1533,186188.44
1534,116343.54
1535,163386.0
1536,180966.53
1537,122299.01
1538,143414.3
1539,206925.55
1540,180966.53
1541,163551.38
1542,157458.5
1543,180966.53
1544,97989.0
1545,109847.03
1546,126038.414
1547,135867.56
1548,132508.44
1549,136136.83
1550,150315.95
1551,122203.16
1552,157666.39
1553,180966.53
1554,102396.85
1555,199656.2
1556,115853.69
1557,180966.53
1558,102598.69
1559,180966.53
1560,146076.66
1561,180966.53
1562,125786.414
1563,121226.49
1564,180966.53
1565,163490.5
1566,180966.53
1567,107091.945
1568,180966.53
1569,121144.55
1570,130646.22
1571,103468.26
1572,149373.0
1573,205092.39
1574,180966.53
1575,274254.84
1576,263762.34
1577,178103.25
1578,152034.66
1579,142273.3
1580,180966.53
1581,151352.25
1582,119911.914
1583,345039.22
1584,234788.06
1585,180966.53
1586,54606.547
1587,99889.195
1588,144358.94
1589,143415.75
1590,120529.17
1591,180966.53
1592,144151.8
1593,180966.53
1594,180966.53
